,0
0,0.1958923591461857
1,0.18461618613580605
2,0.17855082330169955
3,0.17435029877591304
4,0.17121542046102656
5,0.16862180573429197
6,0.16629551446845053
7,0.16411600032342633
8,0.16203353168986157
9,0.16002597580711378
10,0.1580780531223902
11,0.1561785242012594
12,0.15431967636423402
13,0.1524959433734543
14,0.15070423632907298
15,0.14894313564637665
16,0.14721088387644143
17,0.14550507649263292
18,0.143823702815502
19,0.14216589551283984
20,0.1405315646577484
21,0.13892064150566616
22,0.1373326351814327
23,0.1357666596681867
24,0.13422161002229416
25,0.1326962412906855
26,0.13118924628344766
27,0.12969938064953393
28,0.128225539096675
29,0.12676673658058313
30,0.1253220985402356
31,0.12389104818965557
32,0.12247351237610365
33,0.12106957655632622
34,0.11967917606102488
35,0.11830218026478062
36,0.11693845302219393
