,0
0,0.19561897159050196
1,0.18478129907715382
2,0.17932583447510622
3,0.17575615447636392
4,0.17321529924580137
5,0.17120298736815756
6,0.16947160698435224
7,0.16791546626243284
8,0.16649115697085276
9,0.16517898500713543
10,0.1639664763342273
11,0.16284570041826335
12,0.16181070301869516
13,0.16085541975883058
14,0.15997409360510076
15,0.15916179278985845
16,0.15841446888395452
17,0.15772856892059495
18,0.157100886986971
19,0.156529035897301
20,0.15601156547866582
21,0.15554741214442977
22,0.1551352070152668
23,0.15477310344717002
24,0.15445882187393384
25,0.15418962334610664
26,0.1539624362931168
27,0.1537742172189884
28,0.15362231430358841
29,0.15350462971387888
30,0.15341968755819507
31,0.15336677285628722
32,0.15334558028760426
33,0.15335540807847003
34,0.15339531679738033
35,0.15346453597411905
36,0.15356241268829776
